	0kb_BR_min_size		1kb_BR_min_size		2kb_BR_min_size		3kb_BR_min_size		4kb_BR_min_size		5kb_BR_min_size		6kb_BR_min_size		7kb_BR_min_size		8kb_BR_min_size		9kb_BR_min_size		10kb_BR_min_size		20kb_BR_min_size		50kb_BR_min_size		100kb_BR_min_size		TOTAL	
chr1:46,250,000-47,250,000	723	122761	20	45719	10	32438	6	21701	1	4422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	760	227,041
chr1:47,250,000-48,250,000	271	33821	4	9965	1	5740	1	5740	1	5740	1	5740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	66,746
chr1:48,250,000-49,250,000	316	44208	7	14351	2	8091	1	5556	1	5556	1	5556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	83,318
chr1:49,250,000-50,250,000	352	60522	10	21748	4	13716	2	9405	1	6117	1	6117	1	6117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	123,742
chr1:50,250,000-51,250,000	348	27591	3	5537	2	4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	37,545
chr1:51,250,000-52,250,000	366	35239	8	13632	2	4775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	53,646
chr1:52,250,000-53,250,000	390	25000	2	2133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	27,133
chr1:53,250,000-54,250,000	271	18625	1	1122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	19,747
chr1:54,250,000-55,250,000	364	31638	5	7817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	39,455
chr1:55,250,000-56,250,000	259	31003	3	6976	3	6976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	44,955
chr1:56,250,000-57,250,000	234	20528	1	3749	1	3749	1	3749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	31,775
chr1:57,250,000-58,250,000	256	29601	2	7348	1	5520	1	5520	1	5520	1	5520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	59,029
chr1:58,250,000-59,250,000	241	38878	6	19285	5	17794	2	9647	1	5951	1	5951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	97,506
chr1:59,250,000-60,250,000	299	55112	12	25407	5	15529	1	5938	1	5938	1	5938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	113,862
chr1:60,250,000-61,250,000	258	43737	8	18714	3	10544	1	5587	1	5587	1	5587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	89,756
chr1:61,250,000-62,250,000	377	23391	1	1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	24,628
chr1:62,250,000-63,250,000	316	29259	4	8182	2	5446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	42,887
chr1:63,250,000-64,250,000	256	22169	4	7083	2	4855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	34,107
chr1:64,250,000-65,250,000	325	36350	6	12034	2	5642	1	3255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	57,281
chr1:65,250,000-66,250,000	310	59417	12	26468	3	12270	2	9917	1	5960	1	5960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	119,992
chr1:66,250,000-67,250,000	277	39795	7	17591	3	12309	2	9916	1	5960	1	5960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	91,531
chr1:67,250,000-68,250,000	320	22989	1	2542	1	2542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	28,073
chr1:68,250,000-69,250,000	285	54828	8	25930	5	20592	4	18571	3	14610	1	5960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	140,491
chr1:69,250,000-70,250,000	253	38371	9	16490	2	6487	2	6487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	67,835
chr1:70,250,000-71,250,000	277	42411	7	18477	5	16401	3	12000	1	5397	1	5397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	100,083
chr1:71,250,000-72,250,000	211	24533	2	11913	2	11913	2	11913	2	11913	2	11913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	84,098
chr1:72,250,000-73,250,000	243	33665	8	12432	1	4157	1	4157	1	4157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	58,568
chr1:73,250,000-74,250,000	234	26338	3	3408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	29,746
chr1:74,250,000-75,250,000	234	46082	10	19764	3	10613	2	8498	2	8498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	93,455
chr1:75,250,000-76,250,000	337	55134	8	21982	4	16522	2	11194	2	11194	1	7010	1	7010	1	7010	0	0	0	0	0	0	0	0	0	0	0	0	356	137,056
chr1:76,250,000-77,250,000	275	37850	5	8786	2	4725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	51,361
chr1:77,250,000-78,250,000	313	33207	6	14969	5	13242	1	4074	1	4074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	69,566
chr1:78,250,000-79,250,000	293	33453	4	10247	1	5793	1	5793	1	5793	1	5793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	66,872
chr1:79,250,000-80,250,000	304	49188	8	20111	3	13056	2	10259	2	10259	1	5961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	108,834
chr1:80,250,000-81,250,000	236	42653	7	21091	4	15786	3	13687	2	10341	1	5965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	109,523
chr1:81,250,000-82,250,000	211	26016	7	10189	1	2524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	38,729
chr1:82,250,000-83,250,000	331	119346	32	69322	14	45499	8	31559	3	14864	1	5640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	286,230
chr1:83,250,000-84,250,000	344	235168	82	178303	36	115859	12	58578	8	45176	6	36390	3	20087	1	7374	0	0	0	0	0	0	0	0	0	0	0	0	492	696,935
chr1:84,250,000-85,250,000	241	15796	1	2421	1	2421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	20,638
chr1:85,250,000-86,250,000	328	79507	17	41045	7	27772	4	20425	4	20425	2	11888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	201,062
chr1:86,250,000-87,250,000	312	41557	7	14451	1	6063	1	6063	1	6063	1	6063	1	6063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	86,323
chr1:87,250,000-88,250,000	332	19281	1	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	20,333
chr1:88,250,000-89,250,000	386	33333	1	5936	1	5936	1	5936	1	5936	1	5936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	63,013
chr1:89,250,000-90,250,000	309	60702	12	30171	5	20587	4	18213	2	11198	2	11198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	152,069
chr1:90,250,000-91,250,000	341	34321	4	9291	2	7486	1	5416	1	5416	1	5416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	67,346
chr1:91,250,000-92,250,000	390	46633	10	18072	3	8513	1	3632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	76,850
chr1:92,250,000-93,250,000	405	38782	4	8920	1	4523	1	4523	1	4523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	61,271
chr1:93,250,000-94,250,000	351	47666	6	14101	2	7984	1	5949	1	5949	1	5949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	87,598
chr1:94,250,000-95,250,000	329	32785	5	8654	2	4945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	46,384
chr1:95,250,000-96,250,000	236	32295	7	16732	3	10417	1	5939	1	5939	1	5939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	77,261
chr1:96,250,000-97,250,000	277	40162	6	14221	2	8708	1	5912	1	5912	1	5912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	80,827
chr1:97,250,000-98,250,000	210	31377	5	9419	1	3704	1	3704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	48,204
chr1:98,250,000-99,250,000	264	28888	1	3931	1	3931	1	3931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	40,681
chr1:99,250,000-100,250,000	345	38434	8	12660	2	5287	1	3016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	59,397
chr1:100,250,000-101,250,000	300	34720	5	8182	1	2433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	45,335
chr1:101,250,000-102,250,000	236	24956	3	4441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	29,397
chr1:102,250,000-103,250,000	362	54869	6	11804	1	4797	1	4797	1	4797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	81,064
chr1:103,250,000-104,250,000	280	206489	7	175726	2	169115	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	300	2,384,106
chr1:104,250,000-105,250,000	318	52364	10	26511	4	17913	3	15367	2	11858	2	11858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	135,871
chr1:105,250,000-106,250,000	315	38892	6	8715	1	2115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	49,722
chr1:106,250,000-107,250,000	253	25280	1	1734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	27,014
chr1:107,250,000-108,250,000	248	59410	9	34669	5	29271	4	26825	2	19996	2	19996	2	19996	2	19996	2	19996	2	19996	2	19996	1	5045	0	0	0	0	281	295,192
chr1:108,250,000-109,250,000	357	208920	15	177056	10	170793	10	170793	6	156328	6	156328	6	156328	6	156328	6	156328	5	147572	5	147572	4	129359	0	0	0	0	436	1,933,705
chr1:109,250,000-110,250,000	308	40687	7	19073	5	15153	2	8477	2	8477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	91,867
chr1:110,250,000-111,250,000	264	25127	2	3232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	28,359
chr1:111,250,000-112,250,000	291	43851	5	17849	4	16365	3	13591	2	9662	1	5519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	106,837
chr1:112,250,000-113,250,000	496	36010	5	9046	2	4818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	49,874
chr1:113,250,000-114,250,000	335	48832	9	25154	6	20780	3	13027	2	10019	1	5940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	123,752
chr1:114,250,000-115,250,000	297	36689	4	12311	3	10945	1	5890	1	5890	1	5890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	77,615
chr1:115,250,000-116,250,000	303	31088	6	13468	3	8679	2	6121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	59,356
chr1:116,250,000-117,250,000	390	69208	8	13428	3	6349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	88,985
chr1:117,250,000-118,250,000	271	35542	8	17203	3	10142	1	5177	1	5177	1	5177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	78,418
chr1:118,250,000-119,250,000	381	72292	16	34374	6	21133	2	11723	2	11723	2	11723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	162,968
chr1:119,250,000-120,250,000	393	294304	29	257945	22	248659	16	233809	13	222999	11	213577	11	213577	8	194655	8	194655	7	186156	6	176679	4	151564	1	50725	0	0	529	2,639,304
chr1:120,250,000-121,250,000	142	979726	99	969976	78	937657	67	909194	55	866971	51	849191	43	805647	38	774182	37	766982	32	724268	31	714378	14	476713	2	124454	0	0	689	9,899,339
chr1:121,250,000-122,250,000	360	833935	12	808917	11	807538	11	807538	11	807538	10	802992	9	797233	8	791135	7	783643	7	783643	7	783643	5	755550	1	645913	1	645913	460	10,855,131
chr1:122,250,000-123,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:123,250,000-124,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:124,250,000-125,250,000	198	881131	17	854090	5	834905	3	829941	3	829941	3	829941	3	829941	3	829941	3	829941	3	829941	3	829941	2	811540	2	811540	2	811540	250	11,644,274
chr1:125,250,000-126,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:126,250,000-127,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:127,250,000-128,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:128,250,000-129,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:129,250,000-130,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:130,250,000-131,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:131,250,000-132,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:132,250,000-133,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:133,250,000-134,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:134,250,000-135,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:135,250,000-136,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:136,250,000-137,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:137,250,000-138,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:138,250,000-139,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:139,250,000-140,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:140,250,000-141,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:141,250,000-142,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:142,250,000-143,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:143,250,000-144,250,000	322	839550	27	818129	22	811176	20	806452	16	793344	15	788634	14	782926	14	782926	13	775140	13	775140	13	775140	9	715372	5	589008	3	450427	506	10,503,364
chr1:144,250,000-145,250,000	100	986778	51	975177	44	965267	34	940299	31	930419	28	916926	26	905648	23	885647	22	877913	22	877913	21	868120	13	754476	4	492271	2	342965	421	11,719,819
chr1:145,250,000-146,250,000	327	626610	69	593095	50	567173	38	536817	29	506021	22	474920	14	431548	12	418172	11	410485	9	394089	9	394089	4	335731	2	297470	2	297470	598	6,283,690
chr1:146,250,000-147,250,000	411	767375	124	720171	83	661316	66	618897	51	567166	42	527635	35	490561	32	471720	27	433685	22	392650	18	355828	5	191915	1	83776	1	83776	918	6,366,471
chr1:147,250,000-148,250,000	350	342088	63	307333	43	279402	34	256815	26	228223	18	194771	14	173503	12	160157	11	152432	9	136098	9	136098	1	27226	0	0	0	0	590	2,394,146
chr1:148,250,000-149,250,000	348	856198	53	820846	45	808235	37	787102	33	773038	29	757638	24	730834	23	723895	22	716403	20	699316	20	699316	5	476407	3	430369	1	286013	663	9,565,610
chr1:149,250,000-150,250,000	229	620922	48	606352	39	591623	36	583422	25	545449	23	536598	21	526271	19	512630	17	498154	17	498154	17	498154	12	424987	3	180002	1	102833	507	6,725,551
chr1:150,250,000-151,250,000	537	32930	2	2601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	35,531
chr1:151,250,000-152,250,000	345	31295	3	10068	3	10068	1	5412	1	5412	1	5412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	67,667
chr1:152,250,000-153,250,000	418	81748	19	36312	4	13598	3	11543	1	4590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	147,791
chr1:153,250,000-154,250,000	523	38399	2	2344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	40,743
chr1:154,250,000-155,250,000	422	38602	4	6918	2	4512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	50,032
chr1:155,250,000-156,250,000	649	62290	8	20093	3	13245	1	9091	1	9091	1	9091	1	9091	1	9091	1	9091	1	9091	0	0	0	0	0	0	0	0	667	159,265
