	0kb_BR_min_size		1kb_BR_min_size		2kb_BR_min_size		3kb_BR_min_size		4kb_BR_min_size		5kb_BR_min_size		6kb_BR_min_size		7kb_BR_min_size		8kb_BR_min_size		9kb_BR_min_size		10kb_BR_min_size		20kb_BR_min_size		50kb_BR_min_size		100kb_BR_min_size		TOTAL	
chr1:17,000,000-18,000,000	320	16641	1	1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	17,670
chr1:18,000,000-19,000,000	230	20138	1	1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	21,703
chr1:19,000,000-20,000,000	385	20488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	20,488
chr1:20,000,000-21,000,000	340	23776	2	4046	1	2236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	30,058
chr1:21,000,000-22,000,000	529	68924	12	20439	3	9485	2	6767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	105,615
chr1:22,000,000-23,000,000	308	30950	6	7413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	38,363
chr1:23,000,000-24,000,000	497	31719	5	7349	1	2461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	41,529
chr1:24,000,000-25,000,000	368	24327	2	4045	1	2647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	31,019
chr1:25,000,000-26,000,000	555	108432	18	45112	5	27476	5	27476	5	27476	3	18996	3	18996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594	273,964
chr1:26,000,000-27,000,000	502	30236	2	4062	2	4062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	506	38,360
chr1:27,000,000-28,000,000	510	31231	2	3906	1	2886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513	38,023
chr1:28,000,000-29,000,000	595	27048	1	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	596	28,134
chr1:29,000,000-30,000,000	304	27833	3	5954	1	3001	1	3001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	39,789
chr1:30,000,000-31,000,000	302	39241	3	8328	1	5505	1	5505	1	5505	1	5505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	69,589
chr1:31,000,000-32,000,000	419	22677	1	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	23,982
chr1:32,000,000-33,000,000	533	28262	1	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	29,332
chr1:33,000,000-34,000,000	246	32196	7	12023	2	5361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	49,580
chr1:34,000,000-35,000,000	234	38984	6	21315	3	17245	3	17245	3	17245	3	17245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	129,279
chr1:35,000,000-36,000,000	503	27525	1	1154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	28,679
chr1:36,000,000-37,000,000	332	18908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	18,908
chr1:37,000,000-38,000,000	380	31324	3	6816	1	4483	1	4483	1	4483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	51,589
chr1:38,000,000-39,000,000	320	23989	1	2115	1	2115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	28,219
chr1:39,000,000-40,000,000	479	55336	9	27480	5	22816	5	22816	3	16105	1	6816	1	6816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	158,185
chr1:40,000,000-41,000,000	380	27932	2	5817	1	5266	1	5266	1	5266	1	5266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	54,813
chr1:41,000,000-42,000,000	267	34837	3	6802	1	4359	1	4359	1	4359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	54,716
chr1:42,000,000-43,000,000	335	27974	3	5057	1	2608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	35,639
chr1:43,000,000-44,000,000	323	27775	3	9492	1	5877	1	5877	1	5877	1	5877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	60,775
chr1:44,000,000-45,000,000	371	21514	1	1632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	23,146
chr1:45,000,000-46,000,000	471	49886	12	19590	2	6526	1	3923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	79,925
chr1:46,000,000-47,000,000	586	80508	13	27674	5	16768	3	11172	1	4422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	140,544
chr1:47,000,000-48,000,000	423	67254	11	25085	6	18321	3	10529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	121,189
chr1:48,000,000-49,000,000	313	48548	7	14818	2	8275	1	5740	1	5740	1	5740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	88,861
chr1:49,000,000-50,000,000	374	70213	13	29854	5	19272	3	14961	2	11673	2	11673	1	6117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	163,763
chr1:50,000,000-51,000,000	309	26222	3	5537	2	4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	36,176
chr1:51,000,000-52,000,000	345	26451	5	7117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	33,568
chr1:52,000,000-53,000,000	451	32363	3	6515	2	4775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	43,653
chr1:53,000,000-54,000,000	269	21048	3	3255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	24,303
chr1:54,000,000-55,000,000	369	28322	2	3488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	31,810
chr1:55,000,000-56,000,000	263	31633	5	9248	2	4919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	45,800
chr1:56,000,000-57,000,000	239	24395	2	5806	2	5806	1	3749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	39,756
chr1:57,000,000-58,000,000	228	20245	1	1828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	22,073
chr1:58,000,000-59,000,000	260	48581	7	24805	6	23314	3	15167	2	11471	2	11471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	134,809
chr1:59,000,000-60,000,000	296	48081	9	19815	4	12943	1	5938	1	5938	1	5938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	98,653
chr1:60,000,000-61,000,000	260	51626	11	24306	4	13130	1	5587	1	5587	1	5587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	105,823
chr1:61,000,000-62,000,000	309	19211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	19,211
chr1:62,000,000-63,000,000	389	29404	4	6735	1	2762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	38,901
chr1:63,000,000-64,000,000	253	24135	5	9767	3	7539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	41,441
chr1:64,000,000-65,000,000	276	31723	4	9070	2	5642	1	3255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	49,690
chr1:65,000,000-66,000,000	338	50620	10	23329	3	12270	2	9917	1	5960	1	5960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	108,056
chr1:66,000,000-67,000,000	276	44409	9	16672	2	6349	1	3956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	71,386
chr1:67,000,000-68,000,000	309	29304	3	9564	2	8502	1	5960	1	5960	1	5960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	65,250
chr1:68,000,000-69,000,000	310	47526	6	19928	4	16570	3	14549	2	10588	1	5960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	115,121
chr1:69,000,000-70,000,000	271	48891	10	20504	3	10509	3	10509	1	4022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	94,435
chr1:70,000,000-71,000,000	264	30417	6	11545	3	7481	1	3080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	52,523
chr1:71,000,000-72,000,000	221	38016	4	20833	4	20833	4	20833	3	17310	3	17310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	135,135
chr1:72,000,000-73,000,000	235	29791	7	11114	1	4157	1	4157	1	4157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	53,376
chr1:73,000,000-74,000,000	212	21060	4	4726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	25,786
chr1:74,000,000-75,000,000	262	48100	9	15677	2	6526	1	4411	1	4411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	79,125
chr1:75,000,000-76,000,000	333	60299	9	26069	5	20609	3	15281	3	15281	1	7010	1	7010	1	7010	0	0	0	0	0	0	0	0	0	0	0	0	356	158,569
chr1:76,000,000-77,000,000	276	29595	3	3362	1	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	33,472
chr1:77,000,000-78,000,000	270	32879	7	13855	5	10914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	57,648
chr1:78,000,000-79,000,000	323	39130	5	14971	3	12331	2	9867	2	9867	1	5793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	91,959
chr1:79,000,000-80,000,000	319	46940	7	16549	2	8758	1	5961	1	5961	1	5961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	90,130
chr1:80,000,000-81,000,000	227	46276	9	26467	5	20084	4	17985	3	14639	1	5965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	131,416
chr1:81,000,000-82,000,000	220	19071	2	2544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	21,615
chr1:82,000,000-83,000,000	219	31703	7	14705	2	8164	1	5640	1	5640	1	5640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	71,492
chr1:83,000,000-84,000,000	472	322012	110	228804	47	143957	17	72736	8	42639	4	24629	2	13489	1	7374	0	0	0	0	0	0	0	0	0	0	0	0	661	855,640
chr1:84,000,000-85,000,000	212	22792	2	11761	2	11761	2	11761	2	11761	2	11761	1	6598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	88,195
chr1:85,000,000-86,000,000	307	69678	14	36220	6	25341	4	20425	4	20425	2	11888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	183,977
chr1:86,000,000-87,000,000	360	55474	11	21697	3	10915	1	6063	1	6063	1	6063	1	6063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	112,338
chr1:87,000,000-88,000,000	316	17953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	17,953
chr1:88,000,000-89,000,000	281	22504	2	6988	1	5936	1	5936	1	5936	1	5936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	53,236
chr1:89,000,000-90,000,000	397	54958	8	18185	3	11347	2	8973	1	5934	1	5934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	105,331
chr1:90,000,000-91,000,000	278	35301	5	14056	3	11310	2	9240	1	5264	1	5264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	80,435
chr1:91,000,000-92,000,000	439	56906	11	21661	3	10297	1	5416	1	5416	1	5416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	105,112
chr1:92,000,000-93,000,000	420	45210	5	12552	2	8155	2	8155	1	4523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	78,595
chr1:93,000,000-94,000,000	360	44069	5	12143	2	7984	1	5949	1	5949	1	5949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	82,043
chr1:94,000,000-95,000,000	296	30033	5	8999	2	4945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	43,977
chr1:95,000,000-96,000,000	264	23126	2	7552	1	5939	1	5939	1	5939	1	5939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	54,434
chr1:96,000,000-97,000,000	301	53455	11	23322	4	13186	1	5912	1	5912	1	5912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	107,699
chr1:97,000,000-98,000,000	208	28015	4	7996	1	3704	1	3704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	43,419
chr1:98,000,000-99,000,000	240	30558	3	7046	1	3931	1	3931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	45,466
chr1:99,000,000-100,000,000	333	41301	8	12660	2	5287	1	3016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	62,264
chr1:100,000,000-101,000,000	310	34145	5	8182	1	2433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	44,760
chr1:101,000,000-102,000,000	254	22380	3	4441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	26,821
chr1:102,000,000-103,000,000	336	51345	5	10561	1	4797	1	4797	1	4797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	76,297
chr1:103,000,000-104,000,000	280	205650	7	175646	2	169115	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	1	166616	300	2,383,187
chr1:104,000,000-105,000,000	326	55072	9	24208	3	15367	3	15367	2	11858	2	11858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	133,730
chr1:105,000,000-106,000,000	308	38457	7	11250	2	4661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	54,368
chr1:106,000,000-107,000,000	283	29458	1	1091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	30,549
chr1:107,000,000-108,000,000	211	20746	2	2892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	23,638
chr1:108,000,000-109,000,000	320	244403	22	210567	14	200064	13	197618	7	176324	7	176324	7	176324	7	176324	7	176324	6	167568	6	167568	4	134404	0	0	0	0	420	2,203,812
chr1:109,000,000-110,000,000	396	46623	7	19073	5	15153	2	8477	2	8477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	97,803
chr1:110,000,000-111,000,000	225	16675	1	1839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	18,514
chr1:111,000,000-112,000,000	294	31131	2	4167	1	2774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	38,072
chr1:112,000,000-113,000,000	452	50811	8	21772	4	16060	3	13591	2	9662	1	5519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	117,415
chr1:113,000,000-114,000,000	373	47667	8	23406	6	20362	3	13027	2	10019	1	5940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	120,421
chr1:114,000,000-115,000,000	335	34114	3	6285	2	4955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	45,354
chr1:115,000,000-116,000,000	267	29392	5	13395	2	8757	1	5890	1	5890	1	5890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	69,214
chr1:116,000,000-117,000,000	386	75717	11	21904	6	15028	2	6121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	118,770
chr1:117,000,000-118,000,000	280	37088	8	17293	3	10142	1	5177	1	5177	1	5177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	80,054
chr1:118,000,000-119,000,000	336	59440	13	28209	4	16119	2	11723	2	11723	2	11723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	138,937
chr1:119,000,000-120,000,000	476	71461	12	29123	7	22566	2	10618	2	10618	2	10618	2	10618	1	4422	1	4422	1	4422	1	4422	1	4422	0	0	0	0	508	187,732
chr1:120,000,000-121,000,000	155	973476	102	959008	82	928259	68	891880	53	838847	47	811645	40	773828	33	735227	32	728027	28	694479	26	675112	14	518436	2	102625	0	0	682	9,630,849
chr1:121,000,000-122,000,000	380	831730	30	806502	24	798043	24	798043	24	798043	23	793497	21	782011	19	770323	18	762831	16	745166	16	745166	7	610969	2	468467	1	395913	605	10,106,704
chr1:122,000,000-123,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:123,000,000-124,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:124,000,000-125,000,000	75	949750	2	944405	2	944405	1	941442	1	941442	1	941442	1	941442	1	941442	1	941442	1	941442	1	941442	1	941442	1	941442	1	941442	90	13,194,422
chr1:125,000,000-126,000,000	123	931381	15	909685	3	890500	2	888499	2	888499	2	888499	2	888499	2	888499	2	888499	2	888499	2	888499	1	870098	1	870098	1	870098	160	12,449,852
chr1:126,000,000-127,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:127,000,000-128,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:128,000,000-129,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:129,000,000-130,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:130,000,000-131,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:131,000,000-132,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:132,000,000-133,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:133,000,000-134,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:134,000,000-135,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:135,000,000-136,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:136,000,000-137,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:137,000,000-138,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:138,000,000-139,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:139,000,000-140,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:140,000,000-141,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:141,000,000-142,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:142,000,000-143,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	14	14,000,000
chr1:143,000,000-144,000,000	313	840638	23	819777	18	812824	16	808100	12	794992	11	790282	10	784574	10	784574	9	776788	9	776788	9	776788	5	717020	3	665338	2	664376	450	10,812,859
chr1:144,000,000-145,000,000	92	987437	43	975931	36	966021	28	946478	26	939887	23	926394	22	920520	19	900519	18	892785	18	892785	18	892785	11	810367	5	605644	2	379016	361	12,036,569
chr1:145,000,000-146,000,000	308	675348	80	643915	61	617993	47	582212	37	548127	30	517026	21	468250	19	454874	18	447187	16	430791	15	420998	8	331414	2	160989	1	100692	663	6,399,816
chr1:146,000,000-147,000,000	236	919876	111	892660	80	848972	65	810768	50	759037	42	723848	35	686774	32	667933	27	629898	22	588863	18	552041	5	388693	1	280554	1	280554	725	9,030,471
chr1:147,000,000-148,000,000	485	159138	37	111548	17	81564	12	70155	10	63101	6	45263	3	29082	3	29082	3	29082	3	29082	3	29082	0	0	0	0	0	0	582	676,179
chr1:148,000,000-149,000,000	397	839481	74	796387	58	773884	44	737358	36	708745	29	677455	25	656212	22	635927	21	628202	19	611868	19	611868	4	431075	2	381156	1	286013	751	8,775,631
chr1:149,000,000-150,000,000	151	863432	67	850885	56	832934	53	824733	40	779771	37	766854	33	745879	31	732238	28	710270	26	693183	26	693183	13	497545	3	229215	1	102833	565	9,322,955
chr1:150,000,000-151,000,000	509	31043	2	2601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	33,644
chr1:151,000,000-152,000,000	409	23010	1	2366	1	2366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	27,742
chr1:152,000,000-153,000,000	373	79387	17	38651	6	21300	4	16955	2	10002	1	5412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	171,707
chr1:153,000,000-154,000,000	476	44669	6	7707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	52,376
chr1:154,000,000-155,000,000	454	31539	2	2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	33,945
chr1:155,000,000-156,000,000	643	70838	10	24605	5	17757	1	9091	1	9091	1	9091	1	9091	1	9091	1	9091	1	9091	0	0	0	0	0	0	0	0	665	176,837
