	0kb_ELR_min_size		1kb_ELR_min_size		2kb_ELR_min_size		3kb_ELR_min_size		4kb_ELR_min_size		5kb_ELR_min_size		TOTAL	
chr1:16,000,000-17,000,000	667	349742	667	349742	667	349742	667	349742	667	349742	667	349742	4,002	2,098,452
chr1:17,000,000-18,000,000	320	16641	320	16641	320	16641	320	16641	320	16641	320	16641	1,920	99,846
chr1:18,000,000-19,000,000	230	20138	230	20138	230	20138	230	20138	230	20138	230	20138	1,380	120,828
chr1:19,000,000-20,000,000	385	20488	385	20488	385	20488	385	20488	385	20488	385	20488	2,310	122,928
chr1:20,000,000-21,000,000	340	23776	340	23776	340	23776	340	23776	340	23776	340	23776	2,040	142,656
chr1:21,000,000-22,000,000	529	68924	529	68924	529	68924	529	68924	529	68924	529	68924	3,174	413,544
chr1:22,000,000-23,000,000	308	30950	308	30950	308	30950	308	30950	308	30950	308	30950	1,848	185,700
chr1:23,000,000-24,000,000	497	31719	497	31719	497	31719	497	31719	497	31719	497	31719	2,982	190,314
chr1:24,000,000-25,000,000	368	24327	368	24327	368	24327	368	24327	368	24327	368	24327	2,208	145,962
chr1:25,000,000-26,000,000	555	108432	555	108432	555	108432	555	108432	555	108432	555	108432	3,330	650,592
chr1:26,000,000-27,000,000	502	30236	502	30236	502	30236	502	30236	502	30236	502	30236	3,012	181,416
chr1:27,000,000-28,000,000	510	31231	510	31231	510	31231	510	31231	510	31231	510	31231	3,060	187,386
chr1:28,000,000-29,000,000	595	27048	595	27048	595	27048	595	27048	595	27048	595	27048	3,570	162,288
chr1:29,000,000-30,000,000	304	27833	304	27833	304	27833	304	27833	304	27833	304	27833	1,824	166,998
chr1:30,000,000-31,000,000	302	39241	302	39241	302	39241	302	39241	302	39241	302	39241	1,812	235,446
chr1:31,000,000-32,000,000	419	22677	419	22677	419	22677	419	22677	419	22677	419	22677	2,514	136,062
chr1:32,000,000-33,000,000	533	28262	533	28262	533	28262	533	28262	533	28262	533	28262	3,198	169,572
chr1:33,000,000-34,000,000	246	32196	246	32196	246	32196	246	32196	246	32196	246	32196	1,476	193,176
chr1:34,000,000-35,000,000	234	38984	234	38984	234	38984	234	38984	234	38984	234	38984	1,404	233,904
chr1:35,000,000-36,000,000	503	27525	503	27525	503	27525	503	27525	503	27525	503	27525	3,018	165,150
chr1:36,000,000-37,000,000	332	18908	332	18908	332	18908	332	18908	332	18908	332	18908	1,992	113,448
chr1:37,000,000-38,000,000	380	31324	380	31324	380	31324	380	31324	380	31324	380	31324	2,280	187,944
chr1:38,000,000-39,000,000	320	23989	320	23989	320	23989	320	23989	320	23989	320	23989	1,920	143,934
chr1:39,000,000-40,000,000	479	55336	479	55336	479	55336	479	55336	479	55336	479	55336	2,874	332,016
chr1:40,000,000-41,000,000	380	27932	380	27932	380	27932	380	27932	380	27932	380	27932	2,280	167,592
chr1:41,000,000-42,000,000	267	34837	267	34837	267	34837	267	34837	267	34837	267	34837	1,602	209,022
chr1:42,000,000-43,000,000	335	27974	335	27974	335	27974	335	27974	335	27974	335	27974	2,010	167,844
chr1:43,000,000-44,000,000	323	27775	323	27775	323	27775	323	27775	323	27775	323	27775	1,938	166,650
chr1:44,000,000-45,000,000	371	21514	371	21514	371	21514	371	21514	371	21514	371	21514	2,226	129,084
chr1:45,000,000-46,000,000	471	49886	471	49886	471	49886	471	49886	471	49886	471	49886	2,826	299,316
chr1:46,000,000-47,000,000	586	80508	586	80508	586	80508	586	80508	586	80508	586	80508	3,516	483,048
chr1:47,000,000-48,000,000	423	67254	423	67254	423	67254	423	67254	423	67254	423	67254	2,538	403,524
chr1:48,000,000-49,000,000	313	48548	313	48548	313	48548	313	48548	313	48548	313	48548	1,878	291,288
chr1:49,000,000-50,000,000	374	70213	374	70213	374	70213	374	70213	374	70213	374	70213	2,244	421,278
chr1:50,000,000-51,000,000	309	26222	309	26222	309	26222	309	26222	309	26222	309	26222	1,854	157,332
chr1:51,000,000-52,000,000	345	26451	345	26451	345	26451	345	26451	345	26451	345	26451	2,070	158,706
chr1:52,000,000-53,000,000	451	32363	451	32363	451	32363	451	32363	451	32363	451	32363	2,706	194,178
chr1:53,000,000-54,000,000	269	21048	269	21048	269	21048	269	21048	269	21048	269	21048	1,614	126,288
chr1:54,000,000-55,000,000	369	28322	369	28322	369	28322	369	28322	369	28322	369	28322	2,214	169,932
chr1:55,000,000-56,000,000	263	31633	263	31633	263	31633	263	31633	263	31633	263	31633	1,578	189,798
chr1:56,000,000-57,000,000	239	24395	239	24395	239	24395	239	24395	239	24395	239	24395	1,434	146,370
chr1:57,000,000-58,000,000	228	20245	228	20245	228	20245	228	20245	228	20245	228	20245	1,368	121,470
chr1:58,000,000-59,000,000	260	48581	260	48581	260	48581	260	48581	260	48581	260	48581	1,560	291,486
chr1:59,000,000-60,000,000	296	48081	296	48081	296	48081	296	48081	296	48081	296	48081	1,776	288,486
chr1:60,000,000-61,000,000	260	51626	260	51626	260	51626	260	51626	260	51626	260	51626	1,560	309,756
chr1:61,000,000-62,000,000	309	19211	309	19211	309	19211	309	19211	309	19211	309	19211	1,854	115,266
chr1:62,000,000-63,000,000	389	29404	389	29404	389	29404	389	29404	389	29404	389	29404	2,334	176,424
chr1:63,000,000-64,000,000	253	24135	253	24135	253	24135	253	24135	253	24135	253	24135	1,518	144,810
chr1:64,000,000-65,000,000	276	31723	276	31723	276	31723	276	31723	276	31723	276	31723	1,656	190,338
chr1:65,000,000-66,000,000	338	50620	338	50620	338	50620	338	50620	338	50620	338	50620	2,028	303,720
chr1:66,000,000-67,000,000	276	44409	276	44409	276	44409	276	44409	276	44409	276	44409	1,656	266,454
chr1:67,000,000-68,000,000	309	29304	309	29304	309	29304	309	29304	309	29304	309	29304	1,854	175,824
chr1:68,000,000-69,000,000	310	47526	310	47526	310	47526	310	47526	310	47526	310	47526	1,860	285,156
chr1:69,000,000-70,000,000	271	48891	271	48891	271	48891	271	48891	271	48891	271	48891	1,626	293,346
chr1:70,000,000-71,000,000	264	30417	264	30417	264	30417	264	30417	264	30417	264	30417	1,584	182,502
chr1:71,000,000-72,000,000	221	38016	221	38016	221	38016	221	38016	221	38016	221	38016	1,326	228,096
chr1:72,000,000-73,000,000	235	29791	235	29791	235	29791	235	29791	235	29791	235	29791	1,410	178,746
chr1:73,000,000-74,000,000	212	21060	212	21060	212	21060	212	21060	212	21060	212	21060	1,272	126,360
chr1:74,000,000-75,000,000	262	48100	262	48100	262	48100	262	48100	262	48100	262	48100	1,572	288,600
chr1:75,000,000-76,000,000	333	60299	333	60299	333	60299	333	60299	333	60299	333	60299	1,998	361,794
chr1:76,000,000-77,000,000	276	29595	276	29595	276	29595	276	29595	276	29595	276	29595	1,656	177,570
chr1:77,000,000-78,000,000	270	32879	270	32879	270	32879	270	32879	270	32879	270	32879	1,620	197,274
chr1:78,000,000-79,000,000	323	39130	323	39130	323	39130	323	39130	323	39130	323	39130	1,938	234,780
chr1:79,000,000-80,000,000	319	46940	319	46940	319	46940	319	46940	319	46940	319	46940	1,914	281,640
chr1:80,000,000-81,000,000	227	46276	227	46276	227	46276	227	46276	227	46276	227	46276	1,362	277,656
chr1:81,000,000-82,000,000	220	19071	220	19071	220	19071	220	19071	220	19071	220	19071	1,320	114,426
chr1:82,000,000-83,000,000	219	31703	219	31703	219	31703	219	31703	219	31703	219	31703	1,314	190,218
chr1:83,000,000-84,000,000	472	322012	472	322012	472	322012	472	322012	472	322012	472	322012	2,832	1,932,072
chr1:84,000,000-85,000,000	212	22792	212	22792	212	22792	212	22792	212	22792	212	22792	1,272	136,752
chr1:85,000,000-86,000,000	307	69678	307	69678	307	69678	307	69678	307	69678	307	69678	1,842	418,068
chr1:86,000,000-87,000,000	360	55474	360	55474	360	55474	360	55474	360	55474	360	55474	2,160	332,844
chr1:87,000,000-88,000,000	316	17953	316	17953	316	17953	316	17953	316	17953	316	17953	1,896	107,718
chr1:88,000,000-89,000,000	281	22504	281	22504	281	22504	281	22504	281	22504	281	22504	1,686	135,024
chr1:89,000,000-90,000,000	397	54958	397	54958	397	54958	397	54958	397	54958	397	54958	2,382	329,748
chr1:90,000,000-91,000,000	278	35301	278	35301	278	35301	278	35301	278	35301	278	35301	1,668	211,806
chr1:91,000,000-92,000,000	439	56906	439	56906	439	56906	439	56906	439	56906	439	56906	2,634	341,436
chr1:92,000,000-93,000,000	420	45210	420	45210	420	45210	420	45210	420	45210	420	45210	2,520	271,260
chr1:93,000,000-94,000,000	360	44069	360	44069	360	44069	360	44069	360	44069	360	44069	2,160	264,414
chr1:94,000,000-95,000,000	296	30033	296	30033	296	30033	296	30033	296	30033	296	30033	1,776	180,198
chr1:95,000,000-96,000,000	264	23126	264	23126	264	23126	264	23126	264	23126	264	23126	1,584	138,756
chr1:96,000,000-97,000,000	301	53455	301	53455	301	53455	301	53455	301	53455	301	53455	1,806	320,730
chr1:97,000,000-98,000,000	208	28015	208	28015	208	28015	208	28015	208	28015	208	28015	1,248	168,090
chr1:98,000,000-99,000,000	240	30558	240	30558	240	30558	240	30558	240	30558	240	30558	1,440	183,348
chr1:99,000,000-100,000,000	333	41301	333	41301	333	41301	333	41301	333	41301	333	41301	1,998	247,806
chr1:100,000,000-101,000,000	310	34145	310	34145	310	34145	310	34145	310	34145	310	34145	1,860	204,870
chr1:101,000,000-102,000,000	254	22380	254	22380	254	22380	254	22380	254	22380	254	22380	1,524	134,280
chr1:102,000,000-103,000,000	336	51345	336	51345	336	51345	336	51345	336	51345	336	51345	2,016	308,070
chr1:103,000,000-104,000,000	280	205650	280	205650	280	205650	280	205650	280	205650	280	205650	1,680	1,233,900
chr1:104,000,000-105,000,000	326	55072	326	55072	326	55072	326	55072	326	55072	326	55072	1,956	330,432
chr1:105,000,000-106,000,000	308	38457	308	38457	308	38457	308	38457	308	38457	308	38457	1,848	230,742
chr1:106,000,000-107,000,000	283	29458	283	29458	283	29458	283	29458	283	29458	283	29458	1,698	176,748
chr1:107,000,000-108,000,000	211	20746	211	20746	211	20746	211	20746	211	20746	211	20746	1,266	124,476
chr1:108,000,000-109,000,000	320	244403	320	244403	320	244403	320	244403	320	244403	320	244403	1,920	1,466,418
chr1:109,000,000-110,000,000	396	46623	396	46623	396	46623	396	46623	396	46623	396	46623	2,376	279,738
chr1:110,000,000-111,000,000	225	16675	225	16675	225	16675	225	16675	225	16675	225	16675	1,350	100,050
chr1:111,000,000-112,000,000	294	31131	294	31131	294	31131	294	31131	294	31131	294	31131	1,764	186,786
chr1:112,000,000-113,000,000	452	50811	452	50811	452	50811	452	50811	452	50811	452	50811	2,712	304,866
chr1:113,000,000-114,000,000	373	47667	373	47667	373	47667	373	47667	373	47667	373	47667	2,238	286,002
chr1:114,000,000-115,000,000	335	34114	335	34114	335	34114	335	34114	335	34114	335	34114	2,010	204,684
chr1:115,000,000-116,000,000	267	29392	267	29392	267	29392	267	29392	267	29392	267	29392	1,602	176,352
chr1:116,000,000-117,000,000	386	75717	386	75717	386	75717	386	75717	386	75717	386	75717	2,316	454,302
chr1:117,000,000-118,000,000	280	37088	280	37088	280	37088	280	37088	280	37088	280	37088	1,680	222,528
chr1:118,000,000-119,000,000	336	59440	336	59440	336	59440	336	59440	336	59440	336	59440	2,016	356,640
chr1:119,000,000-120,000,000	476	71461	476	71461	476	71461	476	71461	476	71461	476	71461	2,856	428,766
chr1:120,000,000-121,000,000	155	973476	155	973476	155	973476	155	973476	155	973476	155	973476	930	5,840,856
chr1:121,000,000-122,000,000	380	831730	380	831730	380	831730	380	831730	380	831730	380	831730	2,280	4,990,380
chr1:122,000,000-123,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:123,000,000-124,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:124,000,000-125,000,000	75	949750	75	949750	75	949750	75	949750	75	949750	75	949750	450	5,698,500
chr1:125,000,000-126,000,000	123	931381	123	931381	123	931381	123	931381	123	931381	123	931381	738	5,588,286
chr1:126,000,000-127,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:127,000,000-128,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:128,000,000-129,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:129,000,000-130,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:130,000,000-131,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:131,000,000-132,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:132,000,000-133,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:133,000,000-134,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:134,000,000-135,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:135,000,000-136,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:136,000,000-137,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:137,000,000-138,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:138,000,000-139,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:139,000,000-140,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:140,000,000-141,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:141,000,000-142,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:142,000,000-143,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:143,000,000-144,000,000	313	840638	313	840638	313	840638	313	840638	313	840638	313	840638	1,878	5,043,828
chr1:144,000,000-145,000,000	92	987437	92	987437	92	987437	92	987437	92	987437	92	987437	552	5,924,622
chr1:145,000,000-146,000,000	308	675348	308	675348	308	675348	308	675348	308	675348	308	675348	1,848	4,052,088
chr1:146,000,000-147,000,000	236	919876	236	919876	236	919876	236	919876	236	919876	236	919876	1,416	5,519,256
chr1:147,000,000-148,000,000	485	159138	485	159138	485	159138	485	159138	485	159138	485	159138	2,910	954,828
chr1:148,000,000-149,000,000	397	839481	397	839481	397	839481	397	839481	397	839481	397	839481	2,382	5,036,886
chr1:149,000,000-150,000,000	151	863432	151	863432	151	863432	151	863432	151	863432	151	863432	906	5,180,592
chr1:150,000,000-151,000,000	509	31043	509	31043	509	31043	509	31043	509	31043	509	31043	3,054	186,258
chr1:151,000,000-152,000,000	409	23010	409	23010	409	23010	409	23010	409	23010	409	23010	2,454	138,060
chr1:152,000,000-153,000,000	373	79387	373	79387	373	79387	373	79387	373	79387	373	79387	2,238	476,322
chr1:153,000,000-154,000,000	476	44669	476	44669	476	44669	476	44669	476	44669	476	44669	2,856	268,014
chr1:154,000,000-155,000,000	454	31539	454	31539	454	31539	454	31539	454	31539	454	31539	2,724	189,234
chr1:155,000,000-156,000,000	643	70838	643	70838	643	70838	643	70838	643	70838	643	70838	3,858	425,028
chr1:156,000,000-157,000,000	383	23177	383	23177	383	23177	383	23177	383	23177	383	23177	2,298	139,062
chr1:157,000,000-158,000,000	388	38837	388	38837	388	38837	388	38837	388	38837	388	38837	2,328	233,022
chr1:158,000,000-159,000,000	361	61764	361	61764	361	61764	361	61764	361	61764	361	61764	2,166	370,584
chr1:159,000,000-160,000,000	348	61642	348	61642	348	61642	348	61642	348	61642	348	61642	2,088	369,852
chr1:160,000,000-161,000,000	371	39273	371	39273	371	39273	371	39273	371	39273	371	39273	2,226	235,638
chr1:161,000,000-162,000,000	542	206072	542	206072	542	206072	542	206072	542	206072	542	206072	3,252	1,236,432
chr1:162,000,000-163,000,000	311	59524	311	59524	311	59524	311	59524	311	59524	311	59524	1,866	357,144
chr1:163,000,000-164,000,000	238	37090	238	37090	238	37090	238	37090	238	37090	238	37090	1,428	222,540
chr1:164,000,000-165,000,000	267	34456	267	34456	267	34456	267	34456	267	34456	267	34456	1,602	206,736
chr1:165,000,000-166,000,000	282	33522	282	33522	282	33522	282	33522	282	33522	282	33522	1,692	201,132
chr1:166,000,000-167,000,000	344	57575	344	57575	344	57575	344	57575	344	57575	344	57575	2,064	345,450
chr1:167,000,000-168,000,000	283	15370	283	15370	283	15370	283	15370	283	15370	283	15370	1,698	92,220
chr1:168,000,000-169,000,000	359	41766	359	41766	359	41766	359	41766	359	41766	359	41766	2,154	250,596
chr1:169,000,000-170,000,000	296	32979	296	32979	296	32979	296	32979	296	32979	296	32979	1,776	197,874
chr1:170,000,000-171,000,000	306	46132	306	46132	306	46132	306	46132	306	46132	306	46132	1,836	276,792
chr1:171,000,000-172,000,000	356	37699	356	37699	356	37699	356	37699	356	37699	356	37699	2,136	226,194
chr1:172,000,000-173,000,000	316	50680	316	50680	316	50680	316	50680	316	50680	316	50680	1,896	304,080
chr1:173,000,000-174,000,000	433	45563	433	45563	433	45563	433	45563	433	45563	433	45563	2,598	273,378
chr1:174,000,000-175,000,000	384	71034	384	71034	384	71034	384	71034	384	71034	384	71034	2,304	426,204
chr1:175,000,000-176,000,000	256	27022	256	27022	256	27022	256	27022	256	27022	256	27022	1,536	162,132
chr1:176,000,000-177,000,000	281	42767	281	42767	281	42767	281	42767	281	42767	281	42767	1,686	256,602
chr1:177,000,000-178,000,000	258	45652	258	45652	258	45652	258	45652	258	45652	258	45652	1,548	273,912
chr1:178,000,000-179,000,000	326	38600	326	38600	326	38600	326	38600	326	38600	326	38600	1,956	231,600
chr1:179,000,000-180,000,000	425	33233	425	33233	425	33233	425	33233	425	33233	425	33233	2,550	199,398
chr1:180,000,000-181,000,000	273	36809	273	36809	273	36809	273	36809	273	36809	273	36809	1,638	220,854
chr1:181,000,000-182,000,000	288	25986	288	25986	288	25986	288	25986	288	25986	288	25986	1,728	155,916
chr1:182,000,000-183,000,000	292	23273	292	23273	292	23273	292	23273	292	23273	292	23273	1,752	139,638
chr1:183,000,000-184,000,000	241	26582	241	26582	241	26582	241	26582	241	26582	241	26582	1,446	159,492
chr1:184,000,000-185,000,000	257	31752	257	31752	257	31752	257	31752	257	31752	257	31752	1,542	190,512
chr1:185,000,000-186,000,000	284	51921	284	51921	284	51921	284	51921	284	51921	284	51921	1,704	311,526
chr1:186,000,000-187,000,000	314	36289	314	36289	314	36289	314	36289	314	36289	314	36289	1,884	217,734
chr1:187,000,000-188,000,000	266	45534	266	45534	266	45534	266	45534	266	45534	266	45534	1,596	273,204
chr1:188,000,000-189,000,000	247	29727	247	29727	247	29727	247	29727	247	29727	247	29727	1,482	178,362
chr1:189,000,000-190,000,000	305	37973	305	37973	305	37973	305	37973	305	37973	305	37973	1,830	227,838
chr1:190,000,000-191,000,000	191	21363	191	21363	191	21363	191	21363	191	21363	191	21363	1,146	128,178
chr1:191,000,000-192,000,000	265	25772	265	25772	265	25772	265	25772	265	25772	265	25772	1,590	154,632
chr1:192,000,000-193,000,000	295	39156	295	39156	295	39156	295	39156	295	39156	295	39156	1,770	234,936
chr1:193,000,000-194,000,000	268	28418	268	28418	268	28418	268	28418	268	28418	268	28418	1,608	170,508
chr1:194,000,000-195,000,000	307	35115	307	35115	307	35115	307	35115	307	35115	307	35115	1,842	210,690
chr1:195,000,000-196,000,000	233	28078	233	28078	233	28078	233	28078	233	28078	233	28078	1,398	168,468
chr1:196,000,000-197,000,000	499	124556	499	124556	499	124556	499	124556	499	124556	499	124556	2,994	747,336
chr1:197,000,000-198,000,000	259	36284	259	36284	259	36284	259	36284	259	36284	259	36284	1,554	217,704
chr1:198,000,000-199,000,000	201	27163	201	27163	201	27163	201	27163	201	27163	201	27163	1,206	162,978
chr1:199,000,000-200,000,000	287	33975	287	33975	287	33975	287	33975	287	33975	287	33975	1,722	203,850
chr1:200,000,000-201,000,000	335	23185	335	23185	335	23185	335	23185	335	23185	335	23185	2,010	139,110
chr1:201,000,000-202,000,000	276	26156	276	26156	276	26156	276	26156	276	26156	276	26156	1,656	156,936
chr1:202,000,000-203,000,000	902	98064	902	98064	902	98064	902	98064	902	98064	902	98064	5,412	588,384
chr1:203,000,000-204,000,000	362	30048	362	30048	362	30048	362	30048	362	30048	362	30048	2,172	180,288
chr1:204,000,000-205,000,000	259	14727	259	14727	259	14727	259	14727	259	14727	259	14727	1,554	88,362
chr1:205,000,000-206,000,000	368	53044	368	53044	368	53044	368	53044	368	53044	368	53044	2,208	318,264
chr1:206,000,000-207,000,000	220	273394	220	273394	220	273394	220	273394	220	273394	220	273394	1,320	1,640,364
chr1:207,000,000-208,000,000	454	91341	454	91341	454	91341	454	91341	454	91341	454	91341	2,724	548,046
chr1:208,000,000-209,000,000	227	19923	227	19923	227	19923	227	19923	227	19923	227	19923	1,362	119,538
chr1:209,000,000-210,000,000	219	28234	219	28234	219	28234	219	28234	219	28234	219	28234	1,314	169,404
chr1:210,000,000-211,000,000	309	36797	309	36797	309	36797	309	36797	309	36797	309	36797	1,854	220,782
chr1:211,000,000-212,000,000	439	37075	439	37075	439	37075	439	37075	439	37075	439	37075	2,634	222,450
chr1:212,000,000-213,000,000	341	34725	341	34725	341	34725	341	34725	341	34725	341	34725	2,046	208,350
chr1:213,000,000-214,000,000	271	35068	271	35068	271	35068	271	35068	271	35068	271	35068	1,626	210,408
chr1:214,000,000-215,000,000	256	21389	256	21389	256	21389	256	21389	256	21389	256	21389	1,536	128,334
chr1:215,000,000-216,000,000	245	29180	245	29180	245	29180	245	29180	245	29180	245	29180	1,470	175,080
chr1:216,000,000-217,000,000	193	25254	193	25254	193	25254	193	25254	193	25254	193	25254	1,158	151,524
chr1:217,000,000-218,000,000	195	20528	195	20528	195	20528	195	20528	195	20528	195	20528	1,170	123,168
chr1:218,000,000-219,000,000	273	26549	273	26549	273	26549	273	26549	273	26549	273	26549	1,638	159,294
chr1:219,000,000-220,000,000	277	61788	277	61788	277	61788	277	61788	277	61788	277	61788	1,662	370,728
chr1:220,000,000-221,000,000	304	23996	304	23996	304	23996	304	23996	304	23996	304	23996	1,824	143,976
chr1:221,000,000-222,000,000	283	27129	283	27129	283	27129	283	27129	283	27129	283	27129	1,698	162,774
chr1:222,000,000-223,000,000	288	79554	288	79554	288	79554	288	79554	288	79554	288	79554	1,728	477,324
chr1:223,000,000-224,000,000	266	201890	266	201890	266	201890	266	201890	266	201890	266	201890	1,596	1,211,340
chr1:224,000,000-225,000,000	352	64083	352	64083	352	64083	352	64083	352	64083	352	64083	2,112	384,498
chr1:225,000,000-226,000,000	442	43737	442	43737	442	43737	442	43737	442	43737	442	43737	2,652	262,422
chr1:226,000,000-227,000,000	352	27233	352	27233	352	27233	352	27233	352	27233	352	27233	2,112	163,398
chr1:227,000,000-228,000,000	381	58267	381	58267	381	58267	381	58267	381	58267	381	58267	2,286	349,602
chr1:228,000,000-229,000,000	244	120096	244	120096	244	120096	244	120096	244	120096	244	120096	1,464	720,576
chr1:229,000,000-230,000,000	311	26837	311	26837	311	26837	311	26837	311	26837	311	26837	1,866	161,022
chr1:230,000,000-231,000,000	247	21653	247	21653	247	21653	247	21653	247	21653	247	21653	1,482	129,918
chr1:231,000,000-232,000,000	327	30753	327	30753	327	30753	327	30753	327	30753	327	30753	1,962	184,518
chr1:232,000,000-233,000,000	248	27340	248	27340	248	27340	248	27340	248	27340	248	27340	1,488	164,040
chr1:233,000,000-234,000,000	294	24507	294	24507	294	24507	294	24507	294	24507	294	24507	1,764	147,042
chr1:234,000,000-235,000,000	290	54755	290	54755	290	54755	290	54755	290	54755	290	54755	1,740	328,530
chr1:235,000,000-236,000,000	414	26287	414	26287	414	26287	414	26287	414	26287	414	26287	2,484	157,722
chr1:236,000,000-237,000,000	350	28262	350	28262	350	28262	350	28262	350	28262	350	28262	2,100	169,572
chr1:237,000,000-238,000,000	289	32212	289	32212	289	32212	289	32212	289	32212	289	32212	1,734	193,272
chr1:238,000,000-239,000,000	304	25407	304	25407	304	25407	304	25407	304	25407	304	25407	1,824	152,442
chr1:239,000,000-240,000,000	247	28294	247	28294	247	28294	247	28294	247	28294	247	28294	1,482	169,764
chr1:240,000,000-241,000,000	366	20645	366	20645	366	20645	366	20645	366	20645	366	20645	2,196	123,870
chr1:241,000,000-242,000,000	345	22093	345	22093	345	22093	345	22093	345	22093	345	22093	2,070	132,558
chr1:242,000,000-243,000,000	905	190856	905	190856	905	190856	905	190856	905	190856	905	190856	5,430	1,145,136
chr1:243,000,000-244,000,000	438	190882	438	190882	438	190882	438	190882	438	190882	438	190882	2,628	1,145,292
chr1:244,000,000-245,000,000	333	27208	333	27208	333	27208	333	27208	333	27208	333	27208	1,998	163,248
chr1:245,000,000-246,000,000	313	30878	313	30878	313	30878	313	30878	313	30878	313	30878	1,878	185,268
chr1:246,000,000-247,000,000	383	53719	383	53719	383	53719	383	53719	383	53719	383	53719	2,298	322,314
chr1:247,000,000-248,000,000	420	69551	420	69551	420	69551	420	69551	420	69551	420	69551	2,520	417,306
chr1:248,000,000-248,956,422	535	235194	535	235194	535	235194	535	235194	535	235194	535	235194	3,210	1,411,164
chr2:0-1,000,000	310	58930	310	58930	310	58930	310	58930	310	58930	310	58930	1,860	353,580
chr2:1,000,000-2,000,000	307	74802	307	74802	307	74802	307	74802	307	74802	307	74802	1,842	448,812
chr2:2,000,000-3,000,000	255	32822	255	32822	255	32822	255	32822	255	32822	255	32822	1,530	196,932
