	0kb_ELR_min_size		1kb_ELR_min_size		2kb_ELR_min_size		3kb_ELR_min_size		4kb_ELR_min_size		5kb_ELR_min_size		TOTAL	
chr1:130,000,000-131,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:131,000,000-132,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:132,000,000-133,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:133,000,000-134,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:134,000,000-135,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:135,000,000-136,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:136,000,000-137,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:137,000,000-138,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:138,000,000-139,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:139,000,000-140,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:140,000,000-141,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:141,000,000-142,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:142,000,000-143,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:143,000,000-144,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:144,000,000-145,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:145,000,000-146,000,000	2	446500	2	446500	2	446500	2	446500	2	446500	2	446500	12	2,679,000
chr1:146,000,000-147,000,000	2	100000	2	100000	2	100000	2	100000	2	100000	2	100000	12	600,000
chr1:147,000,000-148,000,000	2	474900	2	474900	2	474900	2	474900	2	474900	2	474900	12	2,849,400
chr1:148,000,000-149,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:149,000,000-150,000,000	3	311885	3	311885	3	311885	3	311885	3	311885	3	311885	18	1,871,310
chr1:152,000,000-153,000,000	1	5400	1	5400	1	5400	1	5400	1	5400	1	5400	6	32,400
chr1:155,000,000-156,000,000	1	128377	1	128377	1	128377	1	128377	1	128377	1	128377	6	770,262
chr1:156,000,000-157,000,000	1	2300	1	2300	1	2300	1	2300	1	2300	1	2300	6	13,800
chr1:161,000,000-162,000,000	1	50400	1	50400	1	50400	1	50400	1	50400	1	50400	6	302,400
chr1:168,000,000-169,000,000	1	5500	1	5500	1	5500	1	5500	1	5500	1	5500	6	33,000
chr1:203,000,000-204,000,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr1:205,000,000-206,000,000	1	77293	1	77293	1	77293	1	77293	1	77293	1	77293	6	463,758
chr1:206,000,000-207,000,000	2	222707	2	222707	2	222707	2	222707	2	222707	2	222707	12	1,336,242
chr1:207,000,000-208,000,000	1	247615	1	247615	1	247615	1	247615	1	247615	1	247615	6	1,485,690
chr1:223,000,000-224,000,000	1	118953	1	118953	1	118953	1	118953	1	118953	1	118953	6	713,718
chr1:224,000,000-225,000,000	1	38100	1	38100	1	38100	1	38100	1	38100	1	38100	6	228,600
chr1:228,000,000-229,000,000	1	39100	1	39100	1	39100	1	39100	1	39100	1	39100	6	234,600
chr1:235,000,000-236,000,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr1:236,000,000-237,000,000	1	3000	1	3000	1	3000	1	3000	1	3000	1	3000	6	18,000
chr1:237,000,000-238,000,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr1:246,000,000-247,000,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr1:248,000,000-249,000,000	1	91790	1	91790	1	91790	1	91790	1	91790	1	91790	6	550,740
chr1:249,000,000-249,250,621	2	83531	2	83531	2	83531	2	83531	2	83531	2	83531	12	501,186
chr2:0-1,000,000	1	10000	1	10000	1	10000	1	10000	1	10000	1	10000	6	60,000
chr2:2,000,000-3,000,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr2:3,000,000-4,000,000	2	52400	2	52400	2	52400	2	52400	2	52400	2	52400	12	314,400
chr2:5,000,000-6,000,000	1	100000	1	100000	1	100000	1	100000	1	100000	1	100000	6	600,000
chr2:13,000,000-14,000,000	1	19200	1	19200	1	19200	1	19200	1	19200	1	19200	6	115,200
chr2:16,000,000-17,000,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr2:21,000,000-22,000,000	1	25000	1	25000	1	25000	1	25000	1	25000	1	25000	6	150,000
chr2:33,000,000-34,000,000	1	3100	1	3100	1	3100	1	3100	1	3100	1	3100	6	18,600
chr2:49,000,000-50,000,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr2:62,000,000-63,000,000	1	24800	1	24800	1	24800	1	24800	1	24800	1	24800	6	148,800
chr2:70,000,000-71,000,000	1	2900	1	2900	1	2900	1	2900	1	2900	1	2900	6	17,400
chr2:86,000,000-87,000,000	1	14800	1	14800	1	14800	1	14800	1	14800	1	14800	6	88,800
chr2:87,000,000-88,000,000	1	558700	1	558700	1	558700	1	558700	1	558700	1	558700	6	3,352,200
chr2:88,000,000-89,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:89,000,000-90,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:90,000,000-91,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:91,000,000-92,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:92,000,000-93,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:93,000,000-94,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:94,000,000-95,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:95,000,000-96,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:96,000,000-97,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:97,000,000-98,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:98,000,000-99,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:99,000,000-100,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:100,000,000-101,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:101,000,000-102,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:102,000,000-103,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:103,000,000-104,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:104,000,000-105,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:105,000,000-106,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:106,000,000-107,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:107,000,000-108,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:108,000,000-109,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:109,000,000-110,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:110,000,000-111,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:111,000,000-112,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:112,000,000-113,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:113,000,000-114,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:114,000,000-115,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:115,000,000-116,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:116,000,000-117,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:117,000,000-118,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:118,000,000-119,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:119,000,000-120,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:120,000,000-121,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:121,000,000-122,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:122,000,000-123,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:123,000,000-124,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:124,000,000-125,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:125,000,000-126,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:126,000,000-127,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:127,000,000-128,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:128,000,000-129,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:129,000,000-130,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:130,000,000-131,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:131,000,000-132,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:132,000,000-133,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:133,000,000-134,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:134,000,000-135,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:135,000,000-136,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:136,000,000-137,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:137,000,000-138,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:138,000,000-139,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:139,000,000-140,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:140,000,000-141,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:141,000,000-142,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:142,000,000-143,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:143,000,000-144,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:144,000,000-145,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:145,000,000-146,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:146,000,000-147,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:147,000,000-148,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:148,000,000-149,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:149,000,000-150,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:150,000,000-151,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:151,000,000-152,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:152,000,000-153,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:153,000,000-154,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:154,000,000-155,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:155,000,000-156,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:156,000,000-157,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:157,000,000-158,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:158,000,000-159,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:159,000,000-160,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:160,000,000-161,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:161,000,000-162,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:162,000,000-163,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:163,000,000-164,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:164,000,000-165,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:165,000,000-166,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:166,000,000-167,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:167,000,000-168,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:168,000,000-169,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:169,000,000-170,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:170,000,000-171,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:171,000,000-172,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:172,000,000-173,000,000	1	354557	1	354557	1	354557	1	354557	1	354557	1	354557	6	2,127,342
chr2:230,000,000-231,000,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr2:234,000,000-235,000,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr2:239,000,000-240,000,000	1	30000	1	30000	1	30000	1	30000	1	30000	1	30000	6	180,000
chr2:240,000,000-241,000,000	1	25000	1	25000	1	25000	1	25000	1	25000	1	25000	6	150,000
chr2:243,000,000-243,199,373	1	147273	1	147273	1	147273	1	147273	1	147273	1	147273	6	883,638
chr3:0-1,000,000	2	110400	2	110400	2	110400	2	110400	2	110400	2	110400	12	662,400
chr3:3,000,000-4,000,000	1	4900	1	4900	1	4900	1	4900	1	4900	1	4900	6	29,400
chr3:4,000,000-5,000,000	1	5900	1	5900	1	5900	1	5900	1	5900	1	5900	6	35,400
chr3:8,000,000-9,000,000	1	19600	1	19600	1	19600	1	19600	1	19600	1	19600	6	117,600
chr3:15,000,000-16,000,000	2	18800	2	18800	2	18800	2	18800	2	18800	2	18800	12	112,800
chr3:16,000,000-17,000,000	1	4500	1	4500	1	4500	1	4500	1	4500	1	4500	6	27,000
chr3:17,000,000-18,000,000	1	13700	1	13700	1	13700	1	13700	1	13700	1	13700	6	82,200
chr3:25,000,000-26,000,000	1	18400	1	18400	1	18400	1	18400	1	18400	1	18400	6	110,400
chr3:26,000,000-27,000,000	1	19500	1	19500	1	19500	1	19500	1	19500	1	19500	6	117,000
chr3:38,000,000-39,000,000	1	168957	1	168957	1	168957	1	168957	1	168957	1	168957	6	1,013,742
chr3:39,000,000-40,000,000	1	17300	1	17300	1	17300	1	17300	1	17300	1	17300	6	103,800
chr3:43,000,000-44,000,000	1	3200	1	3200	1	3200	1	3200	1	3200	1	3200	6	19,200
chr3:44,000,000-45,000,000	1	185690	1	185690	1	185690	1	185690	1	185690	1	185690	6	1,114,140
chr3:51,000,000-52,000,000	1	5700	1	5700	1	5700	1	5700	1	5700	1	5700	6	34,200
chr3:63,000,000-64,000,000	1	5800	1	5800	1	5800	1	5800	1	5800	1	5800	6	34,800
chr3:66,000,000-67,000,000	1	100000	1	100000	1	100000	1	100000	1	100000	1	100000	6	600,000
chr3:73,000,000-74,000,000	1	2500	1	2500	1	2500	1	2500	1	2500	1	2500	6	15,000
chr3:75,000,000-76,000,000	2	316453	2	316453	2	316453	2	316453	2	316453	2	316453	12	1,898,718
chr3:78,000,000-79,000,000	1	4200	1	4200	1	4200	1	4200	1	4200	1	4200	6	25,200
chr3:80,000,000-81,000,000	2	31700	2	31700	2	31700	2	31700	2	31700	2	31700	12	190,200
chr3:90,000,000-91,000,000	2	707000	2	707000	2	707000	2	707000	2	707000	2	707000	12	4,242,000
chr3:91,000,000-92,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr3:92,000,000-93,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr3:93,000,000-94,000,000	2	520900	2	520900	2	520900	2	520900	2	520900	2	520900	12	3,125,400
chr3:96,000,000-97,000,000	2	4600	2	4600	2	4600	2	4600	2	4600	2	4600	12	27,600
chr3:98,000,000-99,000,000	1	2200	1	2200	1	2200	1	2200	1	2200	1	2200	6	13,200
chr3:100,000,000-101,000,000	1	6300	1	6300	1	6300	1	6300	1	6300	1	6300	6	37,800
chr3:107,000,000-108,000,000	1	4900	1	4900	1	4900	1	4900	1	4900	1	4900	6	29,400
chr3:118,000,000-119,000,000	1	5500	1	5500	1	5500	1	5500	1	5500	1	5500	6	33,000
chr3:135,000,000-136,000,000	2	28900	2	28900	2	28900	2	28900	2	28900	2	28900	12	173,400
chr3:139,000,000-140,000,000	1	23200	1	23200	1	23200	1	23200	1	23200	1	23200	6	139,200
chr3:144,000,000-145,000,000	1	100268	1	100268	1	100268	1	100268	1	100268	1	100268	6	601,608
chr3:145,000,000-146,000,000	1	67736	1	67736	1	67736	1	67736	1	67736	1	67736	6	406,416
chr3:155,000,000-156,000,000	1	3400	1	3400	1	3400	1	3400	1	3400	1	3400	6	20,400
chr3:156,000,000-157,000,000	1	2700	1	2700	1	2700	1	2700	1	2700	1	2700	6	16,200
chr3:157,000,000-158,000,000	1	21400	1	21400	1	21400	1	21400	1	21400	1	21400	6	128,400
chr3:160,000,000-161,000,000	1	7500	1	7500	1	7500	1	7500	1	7500	1	7500	6	45,000
chr3:169,000,000-170,000,000	1	56800	1	56800	1	56800	1	56800	1	56800	1	56800	6	340,800
chr3:173,000,000-174,000,000	1	5800	1	5800	1	5800	1	5800	1	5800	1	5800	6	34,800
chr3:175,000,000-176,000,000	1	5500	1	5500	1	5500	1	5500	1	5500	1	5500	6	33,000
chr3:182,000,000-183,000,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr3:183,000,000-184,000,000	2	5200	2	5200	2	5200	2	5200	2	5200	2	5200	12	31,200
chr3:185,000,000-186,000,000	1	39600	1	39600	1	39600	1	39600	1	39600	1	39600	6	237,600
chr3:189,000,000-190,000,000	1	1400	1	1400	1	1400	1	1400	1	1400	1	1400	6	8,400
chr3:194,000,000-195,000,000	1	5290	1	5290	1	5290	1	5290	1	5290	1	5290	6	31,740
chr3:195,000,000-196,000,000	4	335419	4	335419	4	335419	4	335419	4	335419	4	335419	24	2,012,514
chr3:196,000,000-197,000,000	2	19500	2	19500	2	19500	2	19500	2	19500	2	19500	12	117,000
chr3:197,000,000-198,000,000	3	385281	3	385281	3	385281	3	385281	3	385281	3	385281	18	2,311,686
chr3:198,000,000-198,022,430	1	22430	1	22430	1	22430	1	22430	1	22430	1	22430	6	134,580
chr4:0-1,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:1,000,000-2,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:2,000,000-3,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:3,000,000-4,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:4,000,000-5,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:5,000,000-6,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:6,000,000-7,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:7,000,000-8,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:8,000,000-9,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:9,000,000-10,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:10,000,000-11,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:11,000,000-12,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:12,000,000-13,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:13,000,000-14,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:14,000,000-15,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:15,000,000-16,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:16,000,000-17,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:17,000,000-18,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:18,000,000-19,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:19,000,000-20,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:20,000,000-21,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:21,000,000-22,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:22,000,000-23,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:23,000,000-24,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
