	0kb_ELR_min_size		1kb_ELR_min_size		2kb_ELR_min_size		3kb_ELR_min_size		4kb_ELR_min_size		5kb_ELR_min_size		TOTAL	
chr1:114,250,000-115,250,000	1	141619	1	141619	1	141619	1	141619	1	141619	1	141619	6	849,714
chr1:120,250,000-121,250,000	2	587900	2	587900	2	587900	2	587900	2	587900	2	587900	12	3,527,400
chr1:121,250,000-122,250,000	1	908500	1	908500	1	908500	1	908500	1	908500	1	908500	6	5,451,000
chr1:122,250,000-123,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:123,250,000-124,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:124,250,000-125,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:125,250,000-126,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:126,250,000-127,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:127,250,000-128,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:128,250,000-129,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:129,250,000-130,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:130,250,000-131,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:131,250,000-132,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:132,250,000-133,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:133,250,000-134,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:134,250,000-135,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:135,250,000-136,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:136,250,000-137,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:137,250,000-138,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:138,250,000-139,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:139,250,000-140,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:140,250,000-141,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:141,250,000-142,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:142,250,000-143,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:143,250,000-144,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:144,250,000-145,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:145,250,000-146,250,000	3	246500	3	246500	3	246500	3	246500	3	246500	3	246500	18	1,479,000
chr1:146,250,000-147,250,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr1:147,250,000-148,250,000	2	724900	2	724900	2	724900	2	724900	2	724900	2	724900	12	4,349,400
chr1:148,250,000-149,250,000	1	808800	1	808800	1	808800	1	808800	1	808800	1	808800	6	4,852,800
chr1:149,250,000-150,250,000	2	253085	2	253085	2	253085	2	253085	2	253085	2	253085	12	1,518,510
chr1:151,250,000-152,250,000	1	5400	1	5400	1	5400	1	5400	1	5400	1	5400	6	32,400
chr1:154,250,000-155,250,000	1	103341	1	103341	1	103341	1	103341	1	103341	1	103341	6	620,046
chr1:155,250,000-156,250,000	2	27336	2	27336	2	27336	2	27336	2	27336	2	27336	12	164,016
chr1:161,250,000-162,250,000	1	50400	1	50400	1	50400	1	50400	1	50400	1	50400	6	302,400
chr1:168,250,000-169,250,000	1	5500	1	5500	1	5500	1	5500	1	5500	1	5500	6	33,000
chr1:203,250,000-204,250,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr1:205,250,000-206,250,000	1	150000	1	150000	1	150000	1	150000	1	150000	1	150000	6	900,000
chr1:206,250,000-207,250,000	1	150000	1	150000	1	150000	1	150000	1	150000	1	150000	6	900,000
chr1:207,250,000-208,250,000	1	247615	1	247615	1	247615	1	247615	1	247615	1	247615	6	1,485,690
chr1:223,250,000-224,250,000	2	157053	2	157053	2	157053	2	157053	2	157053	2	157053	12	942,318
chr1:228,250,000-229,250,000	1	39100	1	39100	1	39100	1	39100	1	39100	1	39100	6	234,600
chr1:234,250,000-235,250,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr1:236,250,000-237,250,000	1	3000	1	3000	1	3000	1	3000	1	3000	1	3000	6	18,000
chr1:237,250,000-238,250,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr1:246,250,000-247,250,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr1:248,250,000-249,250,000	2	174700	2	174700	2	174700	2	174700	2	174700	2	174700	12	1,048,200
chr1:249,250,000-249,250,621	1	621	1	621	1	621	1	621	1	621	1	621	6	3,726
chr2:2,250,000-3,250,000	2	4500	2	4500	2	4500	2	4500	2	4500	2	4500	12	27,000
chr2:3,250,000-4,250,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr2:4,250,000-5,250,000	1	100000	1	100000	1	100000	1	100000	1	100000	1	100000	6	600,000
chr2:13,250,000-14,250,000	1	19200	1	19200	1	19200	1	19200	1	19200	1	19200	6	115,200
chr2:16,250,000-17,250,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr2:20,250,000-21,250,000	1	25000	1	25000	1	25000	1	25000	1	25000	1	25000	6	150,000
chr2:32,250,000-33,250,000	1	3100	1	3100	1	3100	1	3100	1	3100	1	3100	6	18,600
chr2:49,250,000-50,250,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr2:62,250,000-63,250,000	1	24800	1	24800	1	24800	1	24800	1	24800	1	24800	6	148,800
chr2:70,250,000-71,250,000	1	2900	1	2900	1	2900	1	2900	1	2900	1	2900	6	17,400
chr2:86,250,000-87,250,000	1	14800	1	14800	1	14800	1	14800	1	14800	1	14800	6	88,800
chr2:87,250,000-88,250,000	1	808700	1	808700	1	808700	1	808700	1	808700	1	808700	6	4,852,200
chr2:88,250,000-89,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:89,250,000-90,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:90,250,000-91,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:91,250,000-92,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:92,250,000-93,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:93,250,000-94,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:94,250,000-95,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:95,250,000-96,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:96,250,000-97,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:97,250,000-98,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:98,250,000-99,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:99,250,000-100,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:100,250,000-101,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:101,250,000-102,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:102,250,000-103,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:103,250,000-104,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:104,250,000-105,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:105,250,000-106,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:106,250,000-107,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:107,250,000-108,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:108,250,000-109,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:109,250,000-110,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:110,250,000-111,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:111,250,000-112,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:112,250,000-113,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:113,250,000-114,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:114,250,000-115,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:115,250,000-116,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:116,250,000-117,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:117,250,000-118,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:118,250,000-119,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:119,250,000-120,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:120,250,000-121,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:121,250,000-122,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:122,250,000-123,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:123,250,000-124,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:124,250,000-125,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:125,250,000-126,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:126,250,000-127,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:127,250,000-128,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:128,250,000-129,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:129,250,000-130,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:130,250,000-131,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:131,250,000-132,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:132,250,000-133,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:133,250,000-134,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:134,250,000-135,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:135,250,000-136,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:136,250,000-137,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:137,250,000-138,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:138,250,000-139,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:139,250,000-140,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:140,250,000-141,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:141,250,000-142,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:142,250,000-143,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:143,250,000-144,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:144,250,000-145,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:145,250,000-146,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:146,250,000-147,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:147,250,000-148,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:148,250,000-149,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:149,250,000-150,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:150,250,000-151,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:151,250,000-152,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:152,250,000-153,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:153,250,000-154,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:154,250,000-155,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:155,250,000-156,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:156,250,000-157,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:157,250,000-158,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:158,250,000-159,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:159,250,000-160,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:160,250,000-161,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:161,250,000-162,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:162,250,000-163,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:163,250,000-164,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:164,250,000-165,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:165,250,000-166,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:166,250,000-167,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:167,250,000-168,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:168,250,000-169,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:169,250,000-170,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:170,250,000-171,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:171,250,000-172,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:172,250,000-173,250,000	1	104557	1	104557	1	104557	1	104557	1	104557	1	104557	6	627,342
chr2:229,250,000-230,250,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr2:233,250,000-234,250,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr2:239,250,000-240,250,000	1	30000	1	30000	1	30000	1	30000	1	30000	1	30000	6	180,000
chr2:240,250,000-241,250,000	1	25000	1	25000	1	25000	1	25000	1	25000	1	25000	6	150,000
chr2:242,250,000-243,199,373	1	147273	1	147273	1	147273	1	147273	1	147273	1	147273	6	883,638
chr3:250,000-1,250,000	1	50400	1	50400	1	50400	1	50400	1	50400	1	50400	6	302,400
chr3:3,250,000-4,250,000	1	4900	1	4900	1	4900	1	4900	1	4900	1	4900	6	29,400
chr3:4,250,000-5,250,000	1	5900	1	5900	1	5900	1	5900	1	5900	1	5900	6	35,400
chr3:8,250,000-9,250,000	1	19600	1	19600	1	19600	1	19600	1	19600	1	19600	6	117,600
chr3:14,250,000-15,250,000	2	18800	2	18800	2	18800	2	18800	2	18800	2	18800	12	112,800
chr3:16,250,000-17,250,000	1	18200	1	18200	1	18200	1	18200	1	18200	1	18200	6	109,200
chr3:25,250,000-26,250,000	1	18400	1	18400	1	18400	1	18400	1	18400	1	18400	6	110,400
chr3:26,250,000-27,250,000	1	19500	1	19500	1	19500	1	19500	1	19500	1	19500	6	117,000
chr3:38,250,000-39,250,000	1	168957	1	168957	1	168957	1	168957	1	168957	1	168957	6	1,013,742
chr3:39,250,000-40,250,000	1	17300	1	17300	1	17300	1	17300	1	17300	1	17300	6	103,800
chr3:43,250,000-44,250,000	1	3200	1	3200	1	3200	1	3200	1	3200	1	3200	6	19,200
chr3:44,250,000-45,250,000	1	185690	1	185690	1	185690	1	185690	1	185690	1	185690	6	1,114,140
chr3:51,250,000-52,250,000	1	5700	1	5700	1	5700	1	5700	1	5700	1	5700	6	34,200
chr3:63,250,000-64,250,000	1	5800	1	5800	1	5800	1	5800	1	5800	1	5800	6	34,800
chr3:65,250,000-66,250,000	1	79730	1	79730	1	79730	1	79730	1	79730	1	79730	6	478,380
chr3:66,250,000-67,250,000	1	20270	1	20270	1	20270	1	20270	1	20270	1	20270	6	121,620
chr3:72,250,000-73,250,000	1	2500	1	2500	1	2500	1	2500	1	2500	1	2500	6	15,000
chr3:75,250,000-76,250,000	2	316453	2	316453	2	316453	2	316453	2	316453	2	316453	12	1,898,718
chr3:78,250,000-79,250,000	1	4200	1	4200	1	4200	1	4200	1	4200	1	4200	6	25,200
chr3:80,250,000-81,250,000	2	31700	2	31700	2	31700	2	31700	2	31700	2	31700	12	190,200
chr3:89,250,000-90,250,000	1	19300	1	19300	1	19300	1	19300	1	19300	1	19300	6	115,800
chr3:90,250,000-91,250,000	1	937700	1	937700	1	937700	1	937700	1	937700	1	937700	6	5,626,200
chr3:91,250,000-92,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr3:92,250,000-93,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr3:93,250,000-94,250,000	2	270900	2	270900	2	270900	2	270900	2	270900	2	270900	12	1,625,400
chr3:96,250,000-97,250,000	2	4600	2	4600	2	4600	2	4600	2	4600	2	4600	12	27,600
chr3:97,250,000-98,250,000	1	2200	1	2200	1	2200	1	2200	1	2200	1	2200	6	13,200
chr3:100,250,000-101,250,000	1	6300	1	6300	1	6300	1	6300	1	6300	1	6300	6	37,800
chr3:106,250,000-107,250,000	1	4900	1	4900	1	4900	1	4900	1	4900	1	4900	6	29,400
chr3:118,250,000-119,250,000	1	5500	1	5500	1	5500	1	5500	1	5500	1	5500	6	33,000
chr3:134,250,000-135,250,000	1	3800	1	3800	1	3800	1	3800	1	3800	1	3800	6	22,800
chr3:135,250,000-136,250,000	1	25100	1	25100	1	25100	1	25100	1	25100	1	25100	6	150,600
chr3:139,250,000-140,250,000	1	23200	1	23200	1	23200	1	23200	1	23200	1	23200	6	139,200
chr3:144,250,000-145,250,000	1	168004	1	168004	1	168004	1	168004	1	168004	1	168004	6	1,008,024
chr3:155,250,000-156,250,000	1	6100	1	6100	1	6100	1	6100	1	6100	1	6100	6	36,600
chr3:157,250,000-158,250,000	1	21400	1	21400	1	21400	1	21400	1	21400	1	21400	6	128,400
chr3:160,250,000-161,250,000	1	7500	1	7500	1	7500	1	7500	1	7500	1	7500	6	45,000
chr3:169,250,000-170,250,000	1	56800	1	56800	1	56800	1	56800	1	56800	1	56800	6	340,800
chr3:173,250,000-174,250,000	1	5800	1	5800	1	5800	1	5800	1	5800	1	5800	6	34,800
chr3:175,250,000-176,250,000	1	5500	1	5500	1	5500	1	5500	1	5500	1	5500	6	33,000
chr3:182,250,000-183,250,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr3:183,250,000-184,250,000	2	5200	2	5200	2	5200	2	5200	2	5200	2	5200	12	31,200
chr3:185,250,000-186,250,000	1	39600	1	39600	1	39600	1	39600	1	39600	1	39600	6	237,600
chr3:188,250,000-189,250,000	1	1400	1	1400	1	1400	1	1400	1	1400	1	1400	6	8,400
chr3:193,250,000-194,250,000	1	5290	1	5290	1	5290	1	5290	1	5290	1	5290	6	31,740
chr3:194,250,000-195,250,000	1	32500	1	32500	1	32500	1	32500	1	32500	1	32500	6	195,000
chr3:195,250,000-196,250,000	3	302919	3	302919	3	302919	3	302919	3	302919	3	302919	18	1,817,514
chr3:196,250,000-197,250,000	3	96700	3	96700	3	96700	3	96700	3	96700	3	96700	18	580,200
chr3:197,250,000-198,022,430	2	330511	2	330511	2	330511	2	330511	2	330511	2	330511	12	1,983,066
chr4:250,000-1,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:1,250,000-2,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:2,250,000-3,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:3,250,000-4,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:4,250,000-5,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:5,250,000-6,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:6,250,000-7,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:7,250,000-8,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:8,250,000-9,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:9,250,000-10,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:10,250,000-11,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:11,250,000-12,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:12,250,000-13,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:13,250,000-14,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:14,250,000-15,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:15,250,000-16,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:16,250,000-17,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:17,250,000-18,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:18,250,000-19,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:19,250,000-20,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:20,250,000-21,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:21,250,000-22,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:22,250,000-23,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:23,250,000-24,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:24,250,000-25,250,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
