	0kb_ELR_min_size		1kb_ELR_min_size		2kb_ELR_min_size		3kb_ELR_min_size		4kb_ELR_min_size		5kb_ELR_min_size		TOTAL	
chr1:234,500,000-235,500,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr1:236,500,000-237,500,000	1	3000	1	3000	1	3000	1	3000	1	3000	1	3000	6	18,000
chr1:237,500,000-238,500,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr1:246,500,000-247,500,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr1:248,500,000-249,250,621	2	175321	2	175321	2	175321	2	175321	2	175321	2	175321	12	1,051,926
chr2:1,500,000-2,500,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr2:2,500,000-3,500,000	1	2400	1	2400	1	2400	1	2400	1	2400	1	2400	6	14,400
chr2:3,500,000-4,500,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr2:4,500,000-5,500,000	1	100000	1	100000	1	100000	1	100000	1	100000	1	100000	6	600,000
chr2:13,500,000-14,500,000	1	19200	1	19200	1	19200	1	19200	1	19200	1	19200	6	115,200
chr2:15,500,000-16,500,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr2:20,500,000-21,500,000	1	25000	1	25000	1	25000	1	25000	1	25000	1	25000	6	150,000
chr2:32,500,000-33,500,000	1	3100	1	3100	1	3100	1	3100	1	3100	1	3100	6	18,600
chr2:48,500,000-49,500,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr2:62,500,000-63,500,000	1	24800	1	24800	1	24800	1	24800	1	24800	1	24800	6	148,800
chr2:70,500,000-71,500,000	1	2900	1	2900	1	2900	1	2900	1	2900	1	2900	6	17,400
chr2:86,500,000-87,500,000	2	73500	2	73500	2	73500	2	73500	2	73500	2	73500	12	441,000
chr2:87,500,000-88,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:88,500,000-89,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:89,500,000-90,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:90,500,000-91,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:91,500,000-92,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:92,500,000-93,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:93,500,000-94,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:94,500,000-95,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:95,500,000-96,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:96,500,000-97,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:97,500,000-98,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:98,500,000-99,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:99,500,000-100,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:100,500,000-101,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:101,500,000-102,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:102,500,000-103,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:103,500,000-104,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:104,500,000-105,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:105,500,000-106,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:106,500,000-107,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:107,500,000-108,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:108,500,000-109,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:109,500,000-110,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:110,500,000-111,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:111,500,000-112,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:112,500,000-113,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:113,500,000-114,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:114,500,000-115,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:115,500,000-116,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:116,500,000-117,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:117,500,000-118,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:118,500,000-119,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:119,500,000-120,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:120,500,000-121,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:121,500,000-122,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:122,500,000-123,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:123,500,000-124,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:124,500,000-125,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:125,500,000-126,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:126,500,000-127,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:127,500,000-128,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:128,500,000-129,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:129,500,000-130,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:130,500,000-131,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:131,500,000-132,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:132,500,000-133,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:133,500,000-134,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:134,500,000-135,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:135,500,000-136,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:136,500,000-137,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:137,500,000-138,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:138,500,000-139,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:139,500,000-140,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:140,500,000-141,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:141,500,000-142,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:142,500,000-143,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:143,500,000-144,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:144,500,000-145,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:145,500,000-146,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:146,500,000-147,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:147,500,000-148,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:148,500,000-149,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:149,500,000-150,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:150,500,000-151,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:151,500,000-152,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:152,500,000-153,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:153,500,000-154,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:154,500,000-155,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:155,500,000-156,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:156,500,000-157,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:157,500,000-158,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:158,500,000-159,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:159,500,000-160,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:160,500,000-161,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:161,500,000-162,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:162,500,000-163,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:163,500,000-164,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:164,500,000-165,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:165,500,000-166,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:166,500,000-167,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:167,500,000-168,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:168,500,000-169,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:169,500,000-170,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:170,500,000-171,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr2:171,500,000-172,500,000	1	854557	1	854557	1	854557	1	854557	1	854557	1	854557	6	5,127,342
chr2:229,500,000-230,500,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr2:233,500,000-234,500,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr2:239,500,000-240,500,000	1	30000	1	30000	1	30000	1	30000	1	30000	1	30000	6	180,000
chr2:240,500,000-241,500,000	1	25000	1	25000	1	25000	1	25000	1	25000	1	25000	6	150,000
chr2:242,500,000-243,199,373	1	147273	1	147273	1	147273	1	147273	1	147273	1	147273	6	883,638
chr3:500,000-1,500,000	1	50400	1	50400	1	50400	1	50400	1	50400	1	50400	6	302,400
chr3:3,500,000-4,500,000	1	4900	1	4900	1	4900	1	4900	1	4900	1	4900	6	29,400
chr3:4,500,000-5,500,000	1	5900	1	5900	1	5900	1	5900	1	5900	1	5900	6	35,400
chr3:7,500,000-8,500,000	1	19600	1	19600	1	19600	1	19600	1	19600	1	19600	6	117,600
chr3:14,500,000-15,500,000	2	18800	2	18800	2	18800	2	18800	2	18800	2	18800	12	112,800
chr3:16,500,000-17,500,000	1	18200	1	18200	1	18200	1	18200	1	18200	1	18200	6	109,200
chr3:25,500,000-26,500,000	2	37900	2	37900	2	37900	2	37900	2	37900	2	37900	12	227,400
chr3:38,500,000-39,500,000	1	168957	1	168957	1	168957	1	168957	1	168957	1	168957	6	1,013,742
chr3:39,500,000-40,500,000	1	17300	1	17300	1	17300	1	17300	1	17300	1	17300	6	103,800
chr3:43,500,000-44,500,000	1	3200	1	3200	1	3200	1	3200	1	3200	1	3200	6	19,200
chr3:44,500,000-45,500,000	1	185690	1	185690	1	185690	1	185690	1	185690	1	185690	6	1,114,140
chr3:50,500,000-51,500,000	1	5700	1	5700	1	5700	1	5700	1	5700	1	5700	6	34,200
chr3:63,500,000-64,500,000	1	5800	1	5800	1	5800	1	5800	1	5800	1	5800	6	34,800
chr3:65,500,000-66,500,000	1	100000	1	100000	1	100000	1	100000	1	100000	1	100000	6	600,000
chr3:72,500,000-73,500,000	1	2500	1	2500	1	2500	1	2500	1	2500	1	2500	6	15,000
chr3:75,500,000-76,500,000	2	316453	2	316453	2	316453	2	316453	2	316453	2	316453	12	1,898,718
chr3:78,500,000-79,500,000	1	4200	1	4200	1	4200	1	4200	1	4200	1	4200	6	25,200
chr3:79,500,000-80,500,000	1	1900	1	1900	1	1900	1	1900	1	1900	1	1900	6	11,400
chr3:80,500,000-81,500,000	1	29800	1	29800	1	29800	1	29800	1	29800	1	29800	6	178,800
chr3:89,500,000-90,500,000	2	207000	2	207000	2	207000	2	207000	2	207000	2	207000	12	1,242,000
chr3:90,500,000-91,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr3:91,500,000-92,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr3:92,500,000-93,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr3:93,500,000-94,500,000	2	20900	2	20900	2	20900	2	20900	2	20900	2	20900	12	125,400
chr3:95,500,000-96,500,000	2	4600	2	4600	2	4600	2	4600	2	4600	2	4600	12	27,600
chr3:97,500,000-98,500,000	1	2200	1	2200	1	2200	1	2200	1	2200	1	2200	6	13,200
chr3:100,500,000-101,500,000	1	6300	1	6300	1	6300	1	6300	1	6300	1	6300	6	37,800
chr3:106,500,000-107,500,000	1	4900	1	4900	1	4900	1	4900	1	4900	1	4900	6	29,400
chr3:118,500,000-119,500,000	1	5500	1	5500	1	5500	1	5500	1	5500	1	5500	6	33,000
chr3:134,500,000-135,500,000	2	28900	2	28900	2	28900	2	28900	2	28900	2	28900	12	173,400
chr3:138,500,000-139,500,000	1	23200	1	23200	1	23200	1	23200	1	23200	1	23200	6	139,200
chr3:144,500,000-145,500,000	1	168004	1	168004	1	168004	1	168004	1	168004	1	168004	6	1,008,024
chr3:155,500,000-156,500,000	1	6100	1	6100	1	6100	1	6100	1	6100	1	6100	6	36,600
chr3:157,500,000-158,500,000	1	21400	1	21400	1	21400	1	21400	1	21400	1	21400	6	128,400
chr3:160,500,000-161,500,000	1	7500	1	7500	1	7500	1	7500	1	7500	1	7500	6	45,000
chr3:168,500,000-169,500,000	1	56800	1	56800	1	56800	1	56800	1	56800	1	56800	6	340,800
chr3:173,500,000-174,500,000	1	5800	1	5800	1	5800	1	5800	1	5800	1	5800	6	34,800
chr3:174,500,000-175,500,000	1	600	1	600	1	600	1	600	1	600	1	600	6	3,600
chr3:175,500,000-176,500,000	1	4900	1	4900	1	4900	1	4900	1	4900	1	4900	6	29,400
chr3:182,500,000-183,500,000	1	2000	1	2000	1	2000	1	2000	1	2000	1	2000	6	12,000
chr3:183,500,000-184,500,000	2	5200	2	5200	2	5200	2	5200	2	5200	2	5200	12	31,200
chr3:184,500,000-185,500,000	1	39600	1	39600	1	39600	1	39600	1	39600	1	39600	6	237,600
chr3:188,500,000-189,500,000	1	1400	1	1400	1	1400	1	1400	1	1400	1	1400	6	8,400
chr3:193,500,000-194,500,000	1	5290	1	5290	1	5290	1	5290	1	5290	1	5290	6	31,740
chr3:194,500,000-195,500,000	3	176256	3	176256	3	176256	3	176256	3	176256	3	176256	18	1,057,536
chr3:195,500,000-196,500,000	2	159163	2	159163	2	159163	2	159163	2	159163	2	159163	12	954,978
chr3:196,500,000-197,500,000	4	179200	4	179200	4	179200	4	179200	4	179200	4	179200	24	1,075,200
chr3:197,500,000-198,022,430	1	248011	1	248011	1	248011	1	248011	1	248011	1	248011	6	1,488,066
chr4:500,000-1,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:1,500,000-2,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:2,500,000-3,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:3,500,000-4,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:4,500,000-5,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:5,500,000-6,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:6,500,000-7,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:7,500,000-8,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:8,500,000-9,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:9,500,000-10,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:10,500,000-11,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:11,500,000-12,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:12,500,000-13,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:13,500,000-14,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:14,500,000-15,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:15,500,000-16,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:16,500,000-17,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:17,500,000-18,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:18,500,000-19,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:19,500,000-20,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:20,500,000-21,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:21,500,000-22,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:22,500,000-23,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:23,500,000-24,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:24,500,000-25,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:25,500,000-26,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:26,500,000-27,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:27,500,000-28,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr4:28,500,000-29,500,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
